And,Andromeda,Andromeda
Ant,Antlia,Air Pump
Aps,Apus,Bird of Paradise
Aqr,Aquarius,Water Carrier
Aql,Aquila,Eagle
Ara,Ara,Altar
Ari,Aries,Ram
Aur,Auriga,Charioteer
Boo,Bootes,Herdsman
Cae,Caelum,Chisel
Cam,Camelopardalis,Giraffe
Cnc,Cancer,Crab
CVn,Canes-Venatici,Hunting Dogs
CMa,Canis-Major,Big Dog
CMi,Canis-Minor,Little Dog
Cap,Capricornus,Goat
Car,Carina,Keel
Cas,Cassiopeia,Cassiopeia
Cen,Centaurus,Centaur
Cep,Cepheus,Cepheus
Cet,Cetus,Whale
Cha,Chamaeleon,Chamaeleon
Cir,Circinus,Compasses
Col,Columba,Dove
Com,Coma-Berenices,Berenice's Hair
CrA,Corona-Australis,Southern Crown
CrB,Corona-Borealis,Northern Crown
Crv,Corvus,Crow
Crt,Crater,Cup
Cru,Crux,Southern Cross
Cyg,Cygnus,Swan
Del,Delphinus,Dolphin
Dor,Dorado,Goldfish
Dra,Draco,Dragon
Equ,Equuleus,Little Horse
Eri,Eridanus,River
For,Fornax,Furnace
Gem,Gemini,Twins
Gru,Grus,Crane
Her,Hercules,Hercules
Hor,Horologium,Clock
Hya,Hydra,Sea Serpent
Hyi,Hydrus,Water Snake
Ind,Indus,Indian
Lac,Lacerta,Lizard
Leo,Leo,Lion
LMi,Leo-Minor,Cub
Lep,Lepus,Hare
Lib,Libra,Balance
Lup,Lupus,Wolf
Lyn,Lynx,Lynx
Lyr,Lyra,Lyre
Men,Mensa,Table Mountain
Mic,Microscopium,Microscope
Mon,Monoceros,Unicorn
Mus,Musca,Fly
Nor,Norma,Square
Oct,Octans,Octant
Oph,Ophiuchus,Serpent Bearer
Ori,Orion,Orion
Pav,Pavo,Peacock
Peg,Pegasus,Winged Horse
Per,Perseus,Perseus
Phe,Phoenix,Phoenix
Pic,Pictor,Easel
Psc,Pisces,Fishes
PsA,Piscis-Austrinus,Southern Fish
Pup,Puppis,Stern
Pyx,Pyxis,Compass
Ret,Reticulum,Reticle
Sge,Sagitta,Arrow
Sgr,Sagittarius,Archer
Sco,Scorpius,Scorpion
Scl,Sculptor,Sculptor
Sct,Scutum,Shield
Ser,Serpens,Serpent
Sex,Sextans,Sextant
Sol,Solaris,Central
Tau,Taurus,Bull
Tel,Telescopium,Telescope
Tri,Triangulum,Triangle
TrA,Triangulum-Australe,Southern Triangle
Tuc,Tucana,Toucan
UMa,Ursa-Major,Great Bear
UMi,Ursa-Minor,Little Bear
Vel,Vela,Sails
Vir,Virgo,Virgin
Vol,Volans,Flying Fish
Vul,Vulpecula,Fox
