 57Gam1And, 50Ups And
 50Ups And, 51    And
 50Ups And, 43Bet And
 43Bet And, 31Del And
 43Bet And, 37Mu  And
 37Mu  And, 35Nu  And
 34Zet And, 30Eps And
 30Eps And, 31Del And
 24The And, 17Iot And
 17Iot And, 19Kap And
 19Kap And, 16Lam And
 17Iot And,  1Omi And
   Iot Ant,   Alp Ant
   Alp Ant,   The Ant
   The Ant,   Eps Ant
   Bet Aps,   Gam Aps
   Gam Aps,   Del2Aps
   Del2Aps,   Alp Aps
 88    Aqr, 77    Aqr
 77    Aqr, 69Tau1Aqr
 69Tau1Aqr, 78    Aqr
 78    Aqr, 90Phi Aqr
 90Phi Aqr, 55Zet1Aqr
 55Zet1Aqr, 48Gam Aqr
 48Gam Aqr, 34Alp Aqr
 34Alp Aqr, 22Bet Aqr
 22Bet Aqr,  7    Aqr
  7    Aqr,  2Eps Aqr
 34Alp Aqr, 43The Aqr
 43The Aqr, 39    Aqr
 13Eps Aql, 17Zet Aql
 17Zet Aql, 50Gam Aql
 50Gam Aql, 53Alp Aql
 53Alp Aql, 60Bet Aql
 60Bet Aql, 55Eta Aql
 55Eta Aql, 41Iot Aql
 41Iot Aql, 15    Aql
 15    Aql, 12    Aql
 66    Aql, 55Eta Aql
 55Eta Aql, 30Del Aql
   Del Ara,   Gam Ara
   Gam Ara,   Gam Ara
   Gam Ara,   Kap Ara
   Kap Ara,   Eps1Ara
   Eps1Ara,   Zet Ara
   Zet Ara,   Eta Ara
   Zet Ara,   Gam Ara
 57Del Ari, 48Eps Ari
 48Eps Ari, 41    Ari
 41    Ari, 13Alp Ari
 13Alp Ari,  6Bet Ari
  6Bet Ari,  5Gam2Ari
 33Del Aur, 34Bet Aur
 34Bet Aur, 37The Aur
 37The Aur,  3Iot Aur
  3Iot Aur, 10Eta Aur
 10Eta Aur,  8Zet Aur
  8Zet Aur,  7Eps Aur
  7Eps Aur, 10Eta Aur
 10Eta Aur, 13Alp Aur
 13Alp Aur, 34Bet Aur
 17Kap1Boo, 19Lam Boo
